"id","name","current_sku","next_sku","current_category_id","current_category","target_category_id","target_category","sku_change","category_change"
"46478","Dayliff 1HP Water Pump for Homes Tanks and Small Buildings","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46479","Dayliff DSD 3/13 Submersible Borehole Pump 0.75kW 1HP","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46480","Dayliff DSD 3/7 Submersible Borehole Pump 0.37kW 0.5HP","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46482","Dayliff Heavy Duty 2 Inch Petrol Water Pump 4 Stroke Engine","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46483","INGCO Electronic Automatic Water Pump Pressure Controller","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46484","Ingco SWP3701 3 Inch Screw Submersible Well Pump 370W 0.5HP","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46486","LSWQB 12V DC Solar Surface Water Pump 15m Head 2000L Per H 180W","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46488","Maxmech 1HP Submersible Water Pump 32m Lift 1.5m3 Per Hr 1 Inch Outlet 8m Cable","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46490","Maxmech 24V DC Solar Submersible Water Pump 250W 50m Max Head 1500L Per H","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46492","Maxmech 3000 PSI Petrol High Pressure Washer 6.5HP 4-Stroke Gasoline Engine","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46494","Maxmech MQB-60 Surface Water Pump 0.5HP Copper Winding 40m Head 2100L Per Hr","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46496","Maxmech PC-10QA Automatic Pump Pressure Controller 10 Bar 1.1kW","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46498","Maxmech PW-210 Petrol Pressure Washer 7.0HP 3000 PSI 206 Bar Heavy Duty Axial Pump","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46500","Pedrollo 0.5HP Peripheral Water Booster Pump 35m Head Cast Iron","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46502","Pedrollo PKM60 1HP Peripheral Water Booster Pump Single Phase Cast Iron Continuous Duty","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46504","Premier 250W Solar Submersible Pump Kit 24V DC 65m Head Digital Controller","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46506","Premier 3FS1.5-80-36 300 Solar Submersible Pump 300W 36V DC 80m Head 1.2m3 Per H","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46508","Premier 400W 48V DC Solar Submersible Pump Brushless Screw Pump 95m Head","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46510","Premier 600W Solar Brushless Screw Pump Kit 72V DC 110m Head Borehole","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46512","Premier 900W Solar Brushless Screw Pump Kit 110V DC 130m Head Pro Controller","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46513","Royce High Pressure Washer 1200W Electric Car Wash Machine with Hose and Spray Gun","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46515","Rutanpump JZDC3.5-24V-250W Solar Submersible Screw Pump 250W 24V DC 30m Max Head","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46517","Rutanpump JZDC3.5-24V-400W Solar Submersible Screw Pump 400W 24V DC 45m Max Head","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46519","Rutanpump JZDC3.5-48V-400W Solar Submersible Pump 400W 48V DC 50m Max Head","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46520","Total TGT11266 High Pressure Washer 2800W 180 Bar 2600 PSI Copper Pump Auto Stop 5m Hose","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46522","Total TGT11316 High Pressure Washer 1400W 130 Bar 1900 PSI Carbon Brush Motor Auto Stop","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46524","TOTAL TPWLI20362 20V Cordless High Pressure Washer 24.8 Bar 360 PSI 2.0Ah Battery 6m Suction Hose","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46526","Cordless High-Pressure Car Wash Spray Gun 88V 2x Lithium Batteries Foam Bottle Dual Nozzle","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46527","1000W Personal Hair Dryer Compact","","","1568","Personal Care","1568","Personal Care","no","no"
"46528","1080P PTZ Wi-Fi CCTV Bulb Camera 360 Degree Smart IP Surveillance","","","1581","Security","1581","Security","no","no"
"46530","10pcs Disposable Drain Sticker Mesh Hair Filter Net for Bathroom Drainage Insect Proof","","","1585","Accessories","1585","Accessories","no","no"
"46531","1/2 Inch Clear PVC Hose Pipe 120ft","","","1585","Accessories","1585","Accessories","no","no"
"46532","10 Pcs Orange Thread Seal Tape Set","","","1585","Accessories","1585","Accessories","no","no"
"46533","10 Pack Auto Drippers Self Plant Watering Spikes Automatic Adjustable Control Valve","","","1585","Accessories","1585","Accessories","no","no"
"46534","10 In 1 Aluminium Multifunctional Ladder Up To 150 Kg 2 By 4","","","1592","Ladders & Scaffolding","1592","Ladders & Scaffolding","no","no"
"46535","100 Pieces Female Adapter 25mm x 1/2 Inch","","","1585","Accessories","1585","Accessories","no","no"
"46536","100 Pieces 20mm x 20mm Female Adapter","","","1585","Accessories","1585","Accessories","no","no"
"46537","Dayliff Single Sediment Water Filter 20 Inch Blue Body with Free Cartridge","","","1587","Water Filters & Purifiers","1587","Water Filters & Purifiers","no","no"
"46538","TCL 32S5K 32 Inch QLED HDR Google Smart TV Dolby Audio","","","1554","TVs & Home Entertainment","1554","TVs & Home Entertainment","no","no"
"46539","Open-Ear Air Conduction Bluetooth Earbuds LED Charging Case Sport Beige","","","1578","Audio","1578","Audio","no","no"
"46540","105 Pcs Metal Rotary Tool Accessory Set Kit Electric Drill Grinder Grinding Polishing","","","1657","Power Tools","1657","Power Tools","no","no"
"46676","Total 168 Piece Hand Tools Set","HSP-026","HSP-026","1655","Hand Tools","1655","Hand Tools","no","no"
"46678","Total Cordless Impact Wrench 1350Nm 20V Brushless","HSP-014","HSP-014","1657","Power Tools","1657","Power Tools","no","no"
"46679","Total Brushless Cordless Impact Drill 96Nm 20V","HSP-005","HSP-005","1657","Power Tools","1657","Power Tools","no","no"
"46680","168pcs Mechanic Socket Hand Tool Kits","HSP-023","HSP-023","1655","Hand Tools","1655","Hand Tools","no","no"
"46681","Total Cordless Screwdriver 4V USB-C Charging Integrated LED","HSP-008","HSP-008","1657","Power Tools","1657","Power Tools","no","no"
"46682","USK Submersible Water Pump 0.5HP 50m","HSP-035","HSP-035","1588","Water Pumps","1588","Water Pumps","no","no"
"46683","Total TCT Saw Blade 235mm 60 Teeth","HSP-003","HSP-003","1657","Power Tools","1657","Power Tools","no","no"
"46684","Total Cordless 2 Piece Combo Kit 20V","HSP-004","HSP-004","1657","Power Tools","1657","Power Tools","no","no"
"46685","Total Claw Hammer 16oz Fibreglass Handle","HSP-011","HSP-011","1655","Hand Tools","1655","Hand Tools","no","no"
"46686","Total Measuring Tape 5m Metric and Imperial","HSP-025","HSP-025","1655","Hand Tools","1655","Hand Tools","no","no"
"46687","Inverter Welding Machine 200A IGBT MMA ARC Welder","HSP-016","HSP-016","1669","Welding","1669","Welding","no","no"
"46688","Total Safety Goggles Chemical Splash and Impact Protection","HSP-009","HSP-009","1671","Safety Tools","1671","Safety Tools","no","no"
"46689","Alltop 300W Solar Flood Light Outdoor High Power","HSP-036","HSP-036","1673","Lighting","1673","Lighting","no","no"
"46690","Total Cordless Angle Grinder 20V 115mm with Battery","HSP-007","HSP-007","1657","Power Tools","1657","Power Tools","no","no"
"46691","Heavy Duty Mountain Bike 26 Inch 21 Speed Shimano Gears","HSP-038","HSP-038","1677","Sports & Outdoors","1677","Sports & Outdoors","no","no"
"46692","PPR Pipe 20mm x 4 Metres PN20 Hot and Cold Water","HSP-033","HSP-033","1585","Accessories","1585","Accessories","no","no"
"46693","PPR Elbow 20mm 90 Degree Fitting 10 Pack","HSP-031","HSP-031","1585","Accessories","1585","Accessories","no","no"
"46694","Total Reciprocating Saw 900W Variable Speed with 2 Blades","HSP-020","HSP-020","1657","Power Tools","1657","Power Tools","no","no"
"46695","Total Jig Saw 650W Variable Speed Orbital Action","HSP-015","HSP-015","1657","Power Tools","1657","Power Tools","no","no"
"46696","Total Rotary Hammer 800W 26mm SDS Plus 3 Functions","HSP-021","HSP-021","1657","Power Tools","1657","Power Tools","no","no"
"46697","Standard Two Way Washing Machine Water Inlet Electric Solenoid Valve","HSP-039","HSP-039","1686","Laundry","1686","Laundry","no","no"
"46698","Total Work Gloves Cut Resistant Level 5 Anti-Vibration","HSP-027","HSP-027","1671","Safety Tools","1671","Safety Tools","no","no"
"46699","Total Safety Helmet Hard Hat White EN397 Certified","HSP-012","HSP-012","1671","Safety Tools","1671","Safety Tools","no","no"
"46700","Premier 28L Cooler Box Chiller Box for Fishing Camping Outdoor","HSP-037","HSP-037","1677","Sports & Outdoors","1677","Sports & Outdoors","no","no"
"46701","Total Angle Grinder 850W 115mm with Safety Guard","HSP-002","HSP-002","1657","Power Tools","1657","Power Tools","no","no"
"46702","Total Angle Grinder 1200W 125mm 3 Discs Included","HSP-001","HSP-001","1657","Power Tools","1657","Power Tools","no","no"
"46703","Total Spirit Level 60cm Aluminium with 3 Vials","HSP-024","HSP-024","1655","Hand Tools","1655","Hand Tools","no","no"
"46704","Total Pipe Cutter Tube Cutter 3-32mm for Copper and PVC","HSP-018","HSP-018","1655","Hand Tools","1655","Hand Tools","no","no"
"46705","Total Combination Spanner Wrench Set 6-24mm 9-Piece","HSP-028","HSP-028","1655","Hand Tools","1655","Hand Tools","no","no"
"46706","Angle Grinder Polisher Buffing Machine 180mm 1800W Variable Speed","HSP-019","HSP-019","1657","Power Tools","1657","Power Tools","no","no"
"46707","Maxmech 2.5KVA Petrol Generator Single Phase Portable","HSP-040","HSP-040","1697","Energy","1697","Energy","no","no"
"46708","Total Electric Pressure Washer 1800W 150 Bar","HSP-034","HSP-034","1588","Water Pumps","1588","Water Pumps","no","no"
"46709","Total Electric Lawn Mower 1800W 46cm Cutting Width Grass Collection","HSP-041","HSP-041","1599","Home & Garden","1599","Home & Garden","no","no"
"46710","Total Digital Multimeter Auto-Ranging AC DC Voltage Current Resistance","HSP-017","HSP-017","1657","Power Tools","1657","Power Tools","no","no"
"46711","Staple Gun 140 Type Heavy Duty 14mm Staples with 1000 Staples","HSP-010","HSP-010","1655","Hand Tools","1655","Hand Tools","no","no"
"46712","Total Chain Block 3-Ton 3 Metres Lift Hoist","HSP-013","HSP-013","1655","Hand Tools","1655","Hand Tools","no","no"
"46713","Plastic Float Ball Valve 1/2 Inch for Water Tank Automatic Refill","HSP-032","HSP-032","1585","Accessories","1585","Accessories","no","no"
"46714","Brass Check Valve Non Return Valve 1 Inch Female Thread","HSP-030","HSP-030","1585","Accessories","1585","Accessories","no","no"
"46715","Brass Ball Valve 3/4 Inch Full Bore Lever Handle","HSP-029","HSP-029","1585","Accessories","1585","Accessories","no","no"
"46716","Razor Wire Concertina Coil 45cm Diameter 10 Metre Roll Security","HSP-022","HSP-022","1671","Safety Tools","1671","Safety Tools","no","no"
"46717","Total Cordless Drill 12V Lithium-Ion 1.5Ah with 2 Batteries","HSP-006","HSP-006","1657","Power Tools","1657","Power Tools","no","no"
